ID;Start time;Completion time;Email;Name;¿En qué grupo te encuentras?;¿Crees que tus conocimientos sobre Ciberseguridad son suficientes para resolver cualquier situación en tu día a día?;"¿Sabrías decir con qué institución puedes contactar a través del 017 ☎️?
";¿Sabrías definir e identificar un ataque de SMISHING?;Si una página web tiene el candado 🔒 (HTTPS) ¿Es segura?;"¿Has oído hablar alguna vez del servicio ""Tu Ayuda en Ciberseguridad"" de INCIBE?";¿Conoces la OSI y alguna de sus campañas/recursos?;
5;1/18/23 16:43:03;1/18/23 16:44:06;anonymous;;Estudiante;Necesito más formación ❌;;No ❌;No ❌;Sí ✅;No ❌;
6;1/23/23 12:10:10;1/23/23 12:10:44;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;;No ❌;Sí ✅;No ❌;No ❌;
7;1/23/23 12:10:04;1/23/23 12:10:49;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
8;1/23/23 12:10:13;1/23/23 12:10:54;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;;Sí ✅;Sí ✅;No ❌;No ❌;
9;1/23/23 12:11:08;1/23/23 12:11:40;anonymous;;Estudiante Fp;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
10;1/23/23 12:11:32;1/23/23 12:13:07;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;INCIBE;Sí ✅;No ❌;Sí ✅;No ❌;
11;1/23/23 12:13:03;1/23/23 12:13:42;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;Ni puta idea;Sí ✅;Sí ✅;No ❌;No ❌;
12;1/23/23 12:14:58;1/23/23 12:16:23;anonymous;;alumnan ciclo superior;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
13;1/23/23 12:20:34;1/23/23 12:21:56;anonymous;;Padre / Madre 👨;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
14;1/23/23 12:24:16;1/23/23 12:26:50;anonymous;;Padre / Madre 👨;Necesito más formación ❌;INCIBE;No ❌;Sí ✅;Sí ✅;No ❌;
15;1/23/23 12:29:45;1/23/23 12:31:10;anonymous;;Profesor/a 👨🏻;Sé suficiente ✅;;No ❌;No ❌;No ❌;No ❌;
16;1/23/23 12:33:42;1/23/23 12:34:24;anonymous;;Profesor/a 👨🏻;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
17;1/23/23 12:34:03;1/23/23 12:34:35;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;Sí ✅;Sí ✅;Sí ✅;Sí ✅;
18;1/23/23 12:35:06;1/23/23 12:36:26;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;Sí ✅;Sí ✅;No ❌;No ❌;
19;1/23/23 12:36:56;1/23/23 12:37:40;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
20;1/23/23 12:36:22;1/23/23 12:37:40;anonymous;;Alumno FP;Sé suficiente ✅;;Sí ✅;Sí ✅;No ❌;No ❌;
21;1/23/23 12:35:52;1/23/23 12:37:58;anonymous;;Alumno de ciclos formativos ;Sé suficiente ✅;INCIBE;No ❌;Sí ✅;Sí ✅;Sí ✅;
22;1/23/23 12:37:43;1/23/23 12:38:51;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;;No ❌;No ❌;Sí ✅;Sí ✅;
23;1/23/23 12:39:10;1/23/23 12:40:40;anonymous;;Profesor/a 👨🏻;Sé suficiente ✅;;No ❌;Sí ✅;No ❌;No ❌;
24;1/23/23 12:40:15;1/23/23 12:42:02;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;Ciberseguridad;Sí ✅;Sí ✅;No ❌;No ❌;
25;1/23/23 12:41:24;1/23/23 12:42:21;anonymous;;Profesor/a 👨🏻;Necesito más formación ❌;;Sí ✅;Sí ✅;Sí ✅;No ❌;
26;1/23/23 12:43:57;1/23/23 12:44:15;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
27;1/23/23 12:44:45;1/23/23 12:45:47;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
28;1/23/23 12:45:17;1/23/23 12:47:10;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Sé suficiente ✅;teléfono de ayuda en ciberseguridad;Sí ✅;Sí ✅;No ❌;No ❌;
29;1/23/23 12:47:55;1/23/23 12:48:56;anonymous;;Formación Profesional ;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
30;1/23/23 12:50:12;1/23/23 12:51:03;anonymous;;Alumno/a ESO / Bachillerato 🧑🏽;Necesito más formación ❌;;No ❌;Sí ✅;No ❌;No ❌;
